TARGET_FID,KOD_UNI,MAPA,STRED,CENA,FUNKCE,TYP_CENY,zmena,DAT_VZNIK,DAT_ZMENA,ID,KOD_MC,NAZEV_MC,KOD_MO,POSKYT,ID_POSKYT,STAV_ZMENA,NAZEV_1,OBJECTID,TARGET_FID_1,TYP,PO__ET_POD,ST__ECHA,PO__ET_P_1,PO__ET_P_2,NOVA_BUDOV,KOD_UNI_1,DB_LO,DB_HI
3030,2825,47,0,12200,DB2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,38,500097,Praha 3,35,HMP-IPR,43,U,Praha 3,1923,3030,3,1,3,0,0,0,2825,10,15
3111,2823,46,0,16270,DB3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,38,500097,Praha 3,35,HMP-IPR,43,U,Praha 3,1990,3111,1,3,1,0,0,0,2823,60,65
3119,2820,46,0,16270,DB3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,38,500097,Praha 3,35,HMP-IPR,43,U,Praha 3,1995,3119,1,3,1,1,0,0,2820,60,65
3280,2791,46,0,11540,CB3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,38,500097,Praha 3,35,HMP-IPR,43,U,Praha 3,2104,3280,,,,,,,2791,60,65
3281,2929,47,0,11010,CB3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,38,500097,Praha 3,35,HMP-IPR,43,U,Praha 3,2105,3281,1,4,1,0,0,0,2929,60,65
3329,2761,46,0,4500,CS,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,38,500097,Praha 3,35,HMP-IPR,43,U,Praha 3,2141,3329,1,2,3,0,0,0,2761,30,35
5124,4969,72,0,12720,DR2,181920-pary,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,3429,5124,,,,,,,4969,55,60
5852,5216,73,0,10850,DB2,181920-primy,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,3878,5852,3,2,3,0,0,0,5216,55,60
6123,5799,85,0,10000,CR3,vysl-filtr,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4049,6123,6,1,3,0,0,0,5799,55,60
6288,5948,86,0,10000,CR2,181920-primy,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4149,6288,1,2,3,0,0,0,5948,55,60
6394,5824,85,0,10000,CR3,vysl-filtr,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4212,6394,1,2,1,1,0,0,5824,55,60
6522,5847,85,0,N,O,vysl-filtr,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4281,6522,5,1,0,1,0,0,5847,55,60
6693,5872,85,0,5540,CR1,181920-pary,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4341,6693,1,1,1,0,0,0,5872,40,45
6724,5776,84,0,N,CR2,vysl-filtr,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4349,6724,,,,,,,5776,55,60
6728,13551,85,0,5540,CR2,181920-pary,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4351,6728,1,5,3,0,0,0,13551,35,40
6743,5874,85,0,5540,CR2,181920-pary,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4357,6743,1,2,3,0,0,0,5874,55,60
6765,6425,97,0,5540,DR2,vysl-filtr,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4366,6765,1,2,3,0,0,0,6425,55,60
7201,6629,98,0,8350,CR2,181920-pary,4,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4466,7201,1,1,1,0,0,0,6629,35,40
7222,6634,98,0,8350,CR2,vysl-filtr,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4472,7222,3,1,3,0,0,0,6634,60,65
7315,6650,98,0,8350,CR2,181920-pary,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4483,7315,1,2,1,1,0,0,6650,60,65
9270,6441,97,0,N,O,vysl-filtr,0,2018-05-07 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,3,500119,Praha 4,43,HMP-IPR,43,U,Praha 4,4936,9270,5,2,1,0,0,0,6441,40,45
3943,3759,59,0,14670,CB3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2563,3943,1,2,1,0,0,0,3759,55,60
3973,3775,59,0,19020,CB3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2580,3973,1,5,3,0,0,0,3775,0,5
3984,3879,59,0,14670,CB3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2587,3984,7,4,1,0,0,0,3879,60,65
4104,3788,59,0,19020,CB3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2681,4104,1,6,1,0,0,0,3788,60,65
4112,12559,59,0,18000,DB2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2688,4112,4,2,3,0,0,0,12559,35,40
4114,12560,59,0,18000,DB3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2689,4114,3,1,1,0,0,0,12560,5,10
4204,3790,59,0,18000,DB2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2765,4204,3,1,1,0,0,0,3790,60,65
4277,12885,59,0,18000,DB3,181920-pary,5,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2816,4277,1,4,1,0,0,0,12885,60,65
4397,3826,59,0,14670,DB2,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2908,4397,3,1,3,0,0,0,3826,60,65
4414,3821,59,0,14670,DB3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,2923,4414,1,6,1,0,0,0,3821,55,60
4705,3852,59,0,12000,CB3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3150,4705,7,4,1,0,0,0,3852,55,60
4720,3854,59,0,14670,CB3,vysl-filtr,5,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3161,4720,1,6,1,0,0,0,3854,60,65
4757,3689,58,0,2500,O,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3191,4757,1,5,3,1,1,0,3689,55,60
4778,12209,59,0,12000,CB3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3203,4778,7,5,1,0,0,0,12209,55,60
4812,3849,59,0,12000,CB3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3230,4812,1,4,3,1,0,0,3849,55,60
4823,3858,59,0,12000,DB3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3240,4823,1,6,1,0,0,0,3858,55,60
4926,3862,59,0,7530,DR3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3307,4926,,,,,,,3862,55,60
5127,4745,70,0,9200,DR3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3432,5127,1,3,1,1,0,0,4745,55,60
5151,12608,70,0,7750,CB3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3448,5151,5,1,1,0,0,0,12608,55,60
5174,12612,70,0,8870,DR2,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3459,5174,1,2,1,1,0,0,12612,55,60
5285,12168,71,0,8870,DR3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3526,5285,1,5,3,0,0,0,12168,55,60
5331,4852,71,0,8870,DR2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3555,5331,3,1,1,0,0,0,4852,55,60
5387,4857,71,0,8870,DR2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3595,5387,1,2,3,0,0,0,4857,45,50
5936,4881,71,0,6030,DR2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,3933,5936,6,1,3,0,0,0,4881,55,60
6091,5679,83,0,N,DR2,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,4027,6091,1,1,1,0,0,0,5679,30,35
6367,5692,83,0,4760,DR2,vysl-filtr,4,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,2,500143,Praha 5,51,HMP-IPR,43,U,Praha 5,4195,6367,1,1,1,0,0,0,5692,45,50
411,164,10,0,5110,DR3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,57,411,,,,,,,164,55,60
605,617,22,0,5110,DB1,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,138,605,1,1,1,0,0,0,617,55,60
1306,1292,21,0,N,O,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,541,1306,5,1,1,0,0,0,1292,55,60
1449,1324,32,0,16920,CR2,181920-pary,5,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,662,1449,1,1,3,0,0,0,1324,55,60
1500,1182,31,0,3330,DR3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,705,1500,,,,,,,1182,15,20
1612,1180,31,0,3330,CR2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,808,1612,,,,,,,1180,25,30
1778,11045,30,0,N,O,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,967,1778,,,,,,,11045,45,50
1895,1383,32,0,10020,CS,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,1071,1895,1,4,3,0,0,0,1383,55,60
2063,1241,31,0,9340,CR2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,1229,2063,1,3,3,1,0,0,1241,55,60
2241,1250,31,0,8050,DR3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,1383,2241,1,2,1,0,0,0,1250,35,40
2262,1435,32,0,5970,O,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,1394,2262,5,2,1,0,0,0,1435,55,60
2279,1274,31,0,8050,DR3,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,1406,2279,4,3,1,0,0,0,1274,55,60
2846,2526,44,0,N,O,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,1784,2846,1,4,3,1,0,0,2526,45,50
2873,11105,42,0,7050,DR2,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,1804,2873,1,2,1,0,0,0,11105,55,60
2999,11117,42,0,8200,DR3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,1899,2999,1,2,1,0,0,0,11117,40,45
3174,2413,43,0,N,DB3,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,2035,3174,,,,,,,2413,55,60
3221,19324,43,0,N,O,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,2064,3221,1,2,3,0,0,0,19324,40,45
3343,2432,43,0,9200,DR1,181920-pary,4,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,2152,3343,1,2,1,0,0,0,2432,55,60
3391,2431,43,0,9200,CR2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,2182,3391,1,2,1,1,0,0,2431,55,60
8530,11926,10,0,5110,DR3,181920-pary,5,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,4598,8530,5,2,1,1,0,0,11926,55,60
8594,2453,43,0,9200,CR2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,4634,8594,5,1,1,0,0,0,2453,55,60
9317,2415,43,0,N,O,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-10-05 00:00:00.000000 UTC,1,500178,Praha 6,60,HMP-IPR,43,U,Praha 6,4952,9317,1,2,3,0,0,0,2415,40,45
1779,1682,34,0,15080,CB3,181920-pary,5,2018-12-04 00:00:00.000000 UTC,2018-12-10 00:00:00.000000 UTC,24,500186,Praha 7,78,HMP-IPR,43,U,Praha 7,968,1779,1,3,1,0,0,0,1682,5,10
1958,1706,34,0,14670,DB2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2018-12-10 00:00:00.000000 UTC,24,500186,Praha 7,78,HMP-IPR,43,U,Praha 7,1131,1958,1,1,1,0,0,0,1706,0,5
1972,11563,34,0,14670,DB2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2018-12-10 00:00:00.000000 UTC,24,500186,Praha 7,78,HMP-IPR,43,U,Praha 7,1145,1972,1,5,1,0,0,0,11563,10,15
2080,1721,34,0,14670,DB2,181920-pary,4,2018-12-04 00:00:00.000000 UTC,2018-12-10 00:00:00.000000 UTC,24,500186,Praha 7,78,HMP-IPR,43,U,Praha 7,1243,2080,1,6,1,0,0,0,1721,55,60
2118,1752,34,0,14670,DB2,181920-pary,4,2018-12-04 00:00:00.000000 UTC,2018-12-10 00:00:00.000000 UTC,24,500186,Praha 7,78,HMP-IPR,43,U,Praha 7,1276,2118,1,16,3,0,0,0,1752,55,60
8498,1684,34,0,15080,CB3,181920-pary,5,2018-12-04 00:00:00.000000 UTC,2018-12-10 00:00:00.000000 UTC,24,500186,Praha 7,78,HMP-IPR,43,U,Praha 7,4566,8498,,,,,,,1684,20,25
785,715,23,0,8200,CR1,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,5,500208,Praha 8,86,HMP-IPR,43,U,Praha 8,212,785,,,,,,,715,55,60
1002,896,24,0,10510,DR2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,5,500208,Praha 8,86,HMP-IPR,43,U,Praha 8,335,1002,1,2,1,0,0,0,896,55,60
1067,10203,24,0,N,O,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,5,500208,Praha 8,86,HMP-IPR,43,U,Praha 8,367,1067,1,13,3,0,0,0,10203,60,65
1113,818,23,0,11860,CR2,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,5,500208,Praha 8,86,HMP-IPR,43,U,Praha 8,395,1113,,,,,,,818,55,60
1125,962,24,0,8500,CR2,vysl-filtr,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,5,500208,Praha 8,86,HMP-IPR,43,U,Praha 8,403,1125,1,3,1,1,0,0,962,55,60
1405,1776,35,0,6500,CR2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,5,500208,Praha 8,86,HMP-IPR,43,U,Praha 8,626,1405,5,2,1,0,0,0,1776,50,55
1517,1796,35,0,8040,DB2,181920-pary,0,2018-12-04 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,5,500208,Praha 8,86,HMP-IPR,43,U,Praha 8,720,1517,,,,,,,1796,40,45
