CODE,METRO_STATION,METRO_LINE,CENTER,DISTRICT_CODE,DISTRICT_NAME,TYPE,FLOORS,ROOF_TYPE,N_of_RECEDING_FLOORS,N_of_FLOORS_SLOPE,NEW_BUILDING,DB_LOW,DB_HIGHT,PRICE_COMPLETE
266000,,,1,500054,Praha 1,1,4,1,1,0,0,30,35,N
270100,Můstek,B,1,500054,Praha 1,1,2,1,1,0,0,55,60,N
263600,Hradčanská,A,1,500054,Praha 1,1,2,1,1,1,0,60,65,N
265300,Staroměstská,A,1,500054,Praha 1,1,3,1,0,0,0,55,60,41150
270200,Karlovo náměstí,B,1,500054,Praha 1,1,2,1,1,0,0,55,60,37470
262000,,,1,500054,Praha 1,1,2,1,1,0,0,55,60,22120
269500,Můstek,"A,B",1,500054,Praha 1,1,4,1,1,0,0,0,5,55810
270400,Můstek,"A,B",1,500054,Praha 1,1,5,1,0,0,0,10,15,45120
268200,,,1,500054,Praha 1,1,3,1,1,0,0,55,60,33850
285100,Florenc,B,1,500054,Praha 1,1,3,1,0,0,0,0,5,N
264700,Malostranská,A,1,500054,Praha 1,1,2,1,1,0,0,0,5,N
11908,,,0,500054,Praha 1,1,1,3,0,0,0,55,60,N
267900,Staroměstská,A,1,500054,Praha 1,1,3,1,1,0,0,30,35,41150
271900,Můstek,"A,B",1,500054,Praha 1,1,6,3,1,0,0,5,10,48450
285700,Florenc,B,1,500054,Praha 1,1,3,1,0,0,0,0,5,48890
266700,,,1,500054,Praha 1,1,4,1,1,0,0,55,60,N
267600,,,1,500054,Praha 1,1,4,1,0,0,0,55,60,N
265800,,,1,500054,Praha 1,1,3,1,1,1,0,10,15,N
268000,,,1,500054,Praha 1,1,1,1,0,0,0,35,40,N
265200,Malostranská,A,1,500054,Praha 1,1,2,1,0,0,0,55,60,N
388700,Můstek,"A,B",1,500054,Praha 1,1,6,3,1,0,0,45,50,37500
269200,Můstek,"A,B",1,500054,Praha 1,1,4,1,1,0,0,0,5,69870
266300,,,1,500054,Praha 1,1,2,1,0,0,0,30,35,N
284200,Florenc,B,1,500054,Praha 1,1,7,3,0,0,0,55,60,48890
